Country,Avg Runs Per Wicket Bowling,Avg Runs Per Six Balls Bowling,Number Of Team Innings Bowling,Highest Team Score Bowling,Lowest Completed Score Bowling
England,24.92,8.17,104,248,79
Australia,22.90,7.90,113,243,74
South Africa,21.14,7.78,107,236,80
West Indies,23.98,7.90,107,244,68
New Zealand,22.99,7.94,113,245,70
India,22.26,7.70,109,245,70
Pakistan,20.06,7.25,139,211,60
Sri Lanka,22.95,7.75,110,263,39
Zimbabwe,27.78,8.14,62,229,75
Netherlands,20.01,7.19,47,221,69
Hong Kong,20.45,7.34,24,189,72
P.N.G.,18.92,6.85,9,180,93
Bangladesh,25.83,8.07,83,224,72
U.A.E.,23.49,7.48,27,189,102
Ireland,19.89,7.36,65,233,53
Scotland,22.20,7.72,47,211,78
Oman,26.57,7.53,16,180,87
Afghanistan,20.78,7.38,68,225,56
